49 1631708144 0,000356 2,000000 0,000229 0,000629 0,000000
46 1631708144 2,282498 2,000000 0,126198 3,172900 11,818473
64 1631708144 3,100654 0,200000 3,100654 3,100654 1,922811
49 1631708145 0,000356 2,000000 0,000229 0,000629 0,000000
46 1631708145 2,282498 2,000000 0,126198 3,172900 11,818473
64 1631708145 3,100654 0,200000 3,100654 3,100654 1,922811
49 1631708146 0,000356 2,000000 0,000229 0,000629 0,000000
46 1631708146 2,282498 2,000000 0,126198 3,172900 11,818473
64 1631708146 3,100654 0,200000 3,100654 3,100654 1,922811
49 1631708147 0,000356 2,000000 0,000229 0,000629 0,000000
46 1631708147 2,282498 2,000000 0,126198 3,172900 11,818473
64 1631708147 3,100654 0,200000 3,100654 3,100654 1,922811
49 1631708148 0,000356 2,000000 0,000229 0,000629 0,000000
46 1631708148 2,282498 2,000000 0,126198 3,172900 11,818473
64 1631708148 3,100654 0,200000 3,100654 3,100654 1,922811
61 1631708149 3,096112 0,200000 3,096112 3,096112 1,917181
52 1631708149 2,609368 1,800000 2,259565 3,235970 12,586374
58 1631708149 2,324871 0,200000 2,324871 2,324871 1,081005
94 1631708149 2,136447 0,400000 2,130915 2,141980 1,825775
55 1631708149 2,246496 1,000000 2,204592 2,275030 5,047396
61 1631708150 3,096112 0,200000 3,096112 3,096112 1,917181
52 1631708150 2,609368 1,800000 2,259565 3,235970 12,586374
58 1631708150 2,324871 0,200000 2,324871 2,324871 1,081005
94 1631708150 2,136447 0,400000 2,130915 2,141980 1,825775
55 1631708150 2,246496 1,000000 2,204592 2,275030 5,047396
61 1631708151 3,096112 0,200000 3,096112 3,096112 1,917181
52 1631708151 2,609368 1,800000 2,259565 3,235970 12,586374
58 1631708151 2,324871 0,200000 2,324871 2,324871 1,081005
94 1631708151 2,136447 0,400000 2,130915 2,141980 1,825775
55 1631708151 2,246496 1,000000 2,204592 2,275030 5,047396
61 1631708152 3,096112 0,200000 3,096112 3,096112 1,917181
52 1631708152 2,609368 1,800000 2,259565 3,235970 12,586374
58 1631708152 2,324871 0,200000 2,324871 2,324871 1,081005
94 1631708152 2,136447 0,400000 2,130915 2,141980 1,825775
55 1631708152 2,246496 1,000000 2,204592 2,275030 5,047396
61 1631708153 3,096112 0,200000 3,096112 3,096112 1,917181
52 1631708153 2,609368 1,800000 2,259565 3,235970 12,586374
58 1631708153 2,324871 0,200000 2,324871 2,324871 1,081005
94 1631708153 2,136447 0,400000 2,130915 2,141980 1,825775
55 1631708153 2,246496 1,000000 2,204592 2,275030 5,047396
109 1631708154 8,946422 0,200000 8,946422 8,946422 16,007692
58 1631708154 3,209812 0,400000 3,207082 3,212543 4,121161
88 1631708154 12,712484 0,400000 12,700546 12,724423 64,642962
115 1631708154 2,135064 0,200000 2,135064 2,135064 0,911699
106 1631708154 2,117147 0,600000 2,115530 2,119936 2,689390
97 1631708154 13,131535 0,400000 13,104233 13,158836 68,975178
103 1631708154 2,105157 1,000000 2,084734 2,121073 4,431893
100 1631708154 3,174080 0,200000 3,174080 3,174080 2,014957
91 1631708154 9,529279 0,200000 9,529279 9,529279 18,161431
94 1631708154 2,084027 0,600000 2,079787 2,090054 2,605912
85 1631708154 9,529332 0,200000 9,529332 9,529332 18,161632
124 1631708154 2,812593 1,200000 2,139299 3,164835 9,758050
82 1631708154 8,946495 0,200000 8,946495 8,946495 16,007953
118 1631708154 13,131483 0,400000 13,104178 13,158787 68,974635
112 1631708154 12,712442 0,400000 12,700509 12,724374 64,642525
79 1631708154 12,662008 0,200000 12,662008 12,662008 32,065288
121 1631708154 12,661962 0,200000 12,661962 12,661962 32,065055
109 1631708155 8,946422 0,200000 8,946422 8,946422 16,007692
58 1631708155 3,209812 0,400000 3,207082 3,212543 4,121161
88 1631708155 12,712484 0,400000 12,700546 12,724423 64,642962
115 1631708155 2,135064 0,200000 2,135064 2,135064 0,911699
106 1631708155 2,117147 0,600000 2,115530 2,119936 2,689390
97 1631708155 13,131535 0,400000 13,104233 13,158836 68,975178
103 1631708155 2,105157 1,000000 2,084734 2,121073 4,431893
100 1631708155 3,174080 0,200000 3,174080 3,174080 2,014957
91 1631708155 9,529279 0,200000 9,529279 9,529279 18,161431
94 1631708155 2,084027 0,600000 2,079787 2,090054 2,605912
85 1631708155 9,529332 0,200000 9,529332 9,529332 18,161632
124 1631708155 2,812593 1,200000 2,139299 3,164835 9,758050
82 1631708155 8,946495 0,200000 8,946495 8,946495 16,007953
118 1631708155 13,131483 0,400000 13,104178 13,158787 68,974635
112 1631708155 12,712442 0,400000 12,700509 12,724374 64,642525
79 1631708155 12,662008 0,200000 12,662008 12,662008 32,065288
121 1631708155 12,661962 0,200000 12,661962 12,661962 32,065055
109 1631708156 8,946422 0,200000 8,946422 8,946422 16,007692
58 1631708156 3,209812 0,400000 3,207082 3,212543 4,121161
88 1631708156 12,712484 0,400000 12,700546 12,724423 64,642962
115 1631708156 2,135064 0,200000 2,135064 2,135064 0,911699
106 1631708156 2,117147 0,600000 2,115530 2,119936 2,689390
97 1631708156 13,131535 0,400000 13,104233 13,158836 68,975178
103 1631708156 2,105157 1,000000 2,084734 2,121073 4,431893
100 1631708156 3,174080 0,200000 3,174080 3,174080 2,014957
91 1631708156 9,529279 0,200000 9,529279 9,529279 18,161431
94 1631708156 2,084027 0,600000 2,079787 2,090054 2,605912
85 1631708156 9,529332 0,200000 9,529332 9,529332 18,161632
124 1631708156 2,812593 1,200000 2,139299 3,164835 9,758050
82 1631708156 8,946495 0,200000 8,946495 8,946495 16,007953
118 1631708156 13,131483 0,400000 13,104178 13,158787 68,974635
112 1631708156 12,712442 0,400000 12,700509 12,724374 64,642525
79 1631708156 12,662008 0,200000 12,662008 12,662008 32,065288
121 1631708156 12,661962 0,200000 12,661962 12,661962 32,065055
109 1631708157 8,946422 0,200000 8,946422 8,946422 16,007692
58 1631708157 3,209812 0,400000 3,207082 3,212543 4,121161
88 1631708157 12,712484 0,400000 12,700546 12,724423 64,642962
115 1631708157 2,135064 0,200000 2,135064 2,135064 0,911699
106 1631708157 2,117147 0,600000 2,115530 2,119936 2,689390
97 1631708157 13,131535 0,400000 13,104233 13,158836 68,975178
103 1631708157 2,105157 1,000000 2,084734 2,121073 4,431893
100 1631708157 3,174080 0,200000 3,174080 3,174080 2,014957
91 1631708157 9,529279 0,200000 9,529279 9,529279 18,161431
94 1631708157 2,084027 0,600000 2,079787 2,090054 2,605912
85 1631708157 9,529332 0,200000 9,529332 9,529332 18,161632
124 1631708157 2,812593 1,200000 2,139299 3,164835 9,758050
