Virtual User Script started at: 07.09.2021 15:36:17	[MsgId: MMSG-15967]
Starting action vuser_init.	[MsgId: MMSG-15919]
Web Turbo Replay of LoadRunner 2020.0.0 for Windows 10; build 793 (ноя 27 2019 19:51:20)  	[MsgId: MMSG-26983]
Run mode: HTML  	[MsgId: MMSG-26993]
Replay user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36  	[MsgId: MMSG-26988]
Runtime Settings file: "C:\Users\getay\AppData\Local\Temp\lr5tmpdirX9C.650\lrcfgHx7.688\cfgBuc.697"  	[MsgId: MMSG-27141]
Ending action vuser_init.	[MsgId: MMSG-15918]
Running Vuser...	[MsgId: MMSG-15964]
Starting iteration 1.	[MsgId: MMSG-15968]
Maximum number of concurrent connections per server: 6  	[MsgId: MMSG-26989]
Starting action ByeTicket.	[MsgId: MMSG-15919]
ByeTicket.c(3): Notify: Transaction "ByeTicket" started.	[MsgId: MMSG-16999]
ByeTicket.c(6): Notify: Transaction "home_page" started.	[MsgId: MMSG-16999]
ByeTicket.c(8): Think time - Waiting 5,00 seconds (according to limit).	[MsgId: MMSG-15946]
ByeTicket.c(8): lr_think_time: 5,00 seconds.	[MsgId: MMSG-15948]
ByeTicket.c(10): web_reg_find started  	[MsgId: MMSG-26355]
ByeTicket.c(10): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
ByeTicket.c(12): web_reg_save_param_attrib started  	[MsgId: MMSG-26355]
ByeTicket.c(12): Registering web_reg_save_param_attrib was successful  	[MsgId: MMSG-26390]
ByeTicket.c(23): web_url("welcome.pl_2") started  	[MsgId: MMSG-26355]
ByeTicket.c(23): t=5341ms: 328-byte response headers for "http://127.0.0.1:1080/cgi-bin/welcome.pl?signOff=true" (RelFrameId=1, Internal ID=1)
ByeTicket.c(23):     HTTP/1.1 200 OK\r\n
ByeTicket.c(23):     Date: Tue, 07 Sep 2021 12:36:22 GMT\r\n
ByeTicket.c(23):     Server: Apache/2.2.21 (Win32)\r\n
ByeTicket.c(23):     Set-Cookie: MSO=SID&1631018182; path=/\r\n
ByeTicket.c(23):     Set-Cookie: MTUserInfo=; path=/; expires=Mon, 06-Sep-2021 12:36:22 GMT\r\n
ByeTicket.c(23):     Keep-Alive: timeout=5, max=100\r\n
